business_id,name,yname,yid,latitude,longitude,ylat,ylong,cneighborhood,yprice_category,price_min,ccategory,insp_count,score,ycount,yrating
19,NRGIZE LIFESTYLE CAFE,Nrgize,nrgize-san-francisco,37.786848,-122.421547,37.78694534,-122.4209824,nobhill,1,$0.00 ,coffeetea,4,94.5,19,4
24,OMNI S.F. HOTEL,Omni San Francisco,omni-san-francisco-san-francisco,37.792888,-122.403135,37.792877,-122.4028272,financialdistrict,3,$31.00 ,venue,4,97,471,4.5
31,NORMAN'S ICE CREAM AND FREEZES,Norman's Ice Cream & Freezes,normans-ice-cream-and-freezes-san-francisco,37.807155,-122.419004,37.80727768,-122.4194717,russianhill,1,$0.00 ,desserts,3,94,211,4.5
45,CHARLIE'S DELI CAFE,Charlie's Deli Cafe,charlies-deli-cafe-san-francisco,37.747114,-122.413641,37.74716283,-122.4138951,bernalheights,1,$0.00 ,fastfood,4,87.5,76,4
48,ART'S CAFE,Art's Cafe,arts-cafe-san-francisco,37.764013,-122.465749,37.763926,-122.4657578,sunset,1,$0.00 ,american,3,92,963,4
50,SUSHI ZONE,Sushi Zone,sushi-zone-san-francisco,37.771437,-122.423892,37.77123,-122.42374,mission,2,$11.00 ,japanese,3,93.33,1001,4
56,CAFE X + O,Cafe XO,cafe-xo-san-francisco,37.742325,-122.426476,37.7422408,-122.4264405,noevalley,1,$0.00 ,coffeetea,5,94,195,3.5
58,OASIS GRILL,Oasis Grill,oasis-grill-san-francisco,37.794483,-122.396584,37.79444642,-122.3967365,financialdistrict,1,$0.00 ,european,3,77,1046,4
61,CHOWDERS,Chowders,chowders-san-francisco,37.80824,-122.410189,37.80875,-122.410097,northbeach,1,$0.00 ,seafood,4,93,545,3.5
66,STARBUCKS COFFEE,Starbucks,starbucks-san-francisco-236,37.763578,-122.477461,37.76376343,-122.4774857,sunset,1,$0.00 ,coffeetea,5,97,123,3
67,REVOLUTION CAFE,The Revolution Cafe,the-revolution-cafe-san-francisco,37.755419,-122.419542,37.75542721,-122.4196827,mission,1,$0.00 ,coffeetea,3,90.33,486,4
73,DINO'S UNCLE VITO,Dino & Santino's,dino-and-santinos-san-francisco,37.788932,-122.433895,37.7890055,-122.4340049,pacificheights,2,$11.00 ,fastfood,3,89.67,569,3.5
76,OMNI S.F. HOTEL,Omni San Francisco,omni-san-francisco-san-francisco,37.792888,-122.403135,37.792877,-122.4028272,financialdistrict,3,$31.00 ,venue,4,98.5,471,4.5
77,OMNI S.F. HOTEL,Omni San Francisco,omni-san-francisco-san-francisco,37.792888,-122.403135,37.792877,-122.4028272,financialdistrict,3,$31.00 ,venue,4,95.25,471,4.5
80,LAW SCHOOL CAFE,Cafe Kendrick,cafe-kendrick-san-francisco-2,37.774941,-122.452797,37.77496777,-122.4526497,haight,3,$31.00 ,bakeries,3,94.67,3,2.5
